product_name,prices,Rating
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
"Motorola G40 Fusion (Dynamic Gray, 64 GB)","₹10,999",4.2
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
"Motorola G40 Fusion (Dynamic Gray, 64 GB)","₹10,999",4.2
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
"Motorola G40 Fusion (Dynamic Gray, 64 GB)","₹10,999",4.2
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
"Motorola G40 Fusion (Dynamic Gray, 64 GB)","₹10,999",4.2
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
"Motorola G40 Fusion (Dynamic Gray, 64 GB)","₹10,999",4.2
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
"Motorola G40 Fusion (Dynamic Gray, 64 GB)","₹10,999",4.2
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
"Motorola G40 Fusion (Dynamic Gray, 64 GB)","₹10,999",4.2
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
"Motorola G40 Fusion (Dynamic Gray, 64 GB)","₹10,999",4.2
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
"Motorola G40 Fusion (Dynamic Gray, 64 GB)","₹10,999",4.2
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","₹1,29,999",4.7
"POCO X2 (Phoenix Red, 64 GB)","₹14,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)","₹14,999",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)","₹1,53,999",4.7
"SAMSUNG Galaxy A06 5G (Light Grey, 64 GB)","₹13,999",4.2
"POCO M5 (Icy Blue, 128 GB)","₹14,499",4.2
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹11,990",4.2
"OPPO A38 (Glowing Gold, 128 GB)","₹12,824",4.3
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)","₹1,17,999",4.7
"SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,17,999",4.7
"REDMI Note 10T 5G (Chromium White, 64 GB)","₹14,999",4.3
"LAVA Blaze X 5G (Titanium Grey, 128 GB)","₹14,230",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",4.7
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)","₹1,17,999",4.7
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹7,499",3.9
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹14,499",4.2
"REDMI Note 13 5G (Arctic White, 128 GB)","₹14,499",4.2
"REDMI Note 11S (Blue, 64 GB)","₹10,966",4.1
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.7
"vivo Y22 (Starlit Blue, 128 GB)","₹11,106",4.3
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)","₹13,499",4.3
